id;lat;lng;time;plastico objeto ;medusas;otros;plastico agregados;boyas
ID_2;41,34;2,17;2022-11-06T00:00:00;7;8;1;9;4
ID_3;41,36;2,16;2022-04-25T00:00:00;8;9;7;0;5
ID_4;41,34;2,14;2022-06-14T00:00:00;0;10;10;0;3
ID_5;41,31;2,18;2022-02-24T00:00:00;0;8;0;4;9
ID_6;41,32;2,17;2023-02-14T00:00:00;0;5;1;6;3
ID_7;41,37;2,15;2023-02-17T00:00:00;4;7;9;3;2
ID_8;41,35;2,18;2023-01-04T00:00:00;0;7;5;5;10
ID_9;41,33;2,17;2022-08-23T00:00:00;2;0;9;7;9
ID_10;41,30;2,16;2022-10-12T00:00:00;10;2;9;8;4
ID_11;41,30;2,14;2022-09-02T00:00:00;7;5;6;2;6
ID_12;41,36;2,15;2022-04-19T00:00:00;0;3;6;9;1
ID_13;41,29;2,18;2023-01-25T00:00:00;4;4;7;8;9
ID_14;41,37;2,15;2022-05-30T00:00:00;8;2;3;0;6
ID_15;41,36;2,14;2022-06-22T00:00:00;7;8;6;7;6
ID_16;41,34;2,18;2022-06-22T00:00:00;2;5;4;5;9
ID_17;41,30;2,18;2022-05-01T00:00:00;7;8;3;1;3
ID_18;41,33;2,15;2022-01-26T00:00:00;1;1;5;2;9
ID_19;41,29;2,17;2022-11-12T00:00:00;6;3;1;7;3
ID_20;41,29;2,16;2022-05-04T00:00:00;6;5;2;1;8
ID_21;41,35;2,14;2022-12-01T00:00:00;10;3;6;5;8
ID_22;41,30;2,16;2022-11-04T00:00:00;7;7;5;0;5
ID_23;41,31;2,18;2022-05-28T00:00:00;9;1;10;4;4
ID_24;41,33;2,17;2022-10-14T00:00:00;1;0;1;4;2
ID_25;41,36;2,15;2022-09-04T00:00:00;9;5;7;3;6
ID_26;41,34;2,18;2022-11-17T00:00:00;10;1;0;6;6
ID_27;41,31;2,14;2022-01-18T00:00:00;7;10;3;3;4
ID_28;41,33;2,17;2022-10-01T00:00:00;3;7;3;6;9
ID_29;41,36;2,14;2022-09-04T00:00:00;2;8;5;8;3
ID_30;41,30;2,16;2022-08-21T00:00:00;5;0;1;0;9
ID_31;41,29;2,14;2022-05-12T00:00:00;1;4;3;7;1
ID_32;41,31;2,15;2022-08-31T00:00:00;4;7;0;8;0
ID_33;41,34;2,16;2023-01-30T00:00:00;3;1;4;5;10
ID_34;41,37;2,14;2022-07-24T00:00:00;7;2;2;6;2
ID_35;41,29;2,18;2022-04-25T00:00:00;7;10;4;7;0
ID_36;41,30;2,17;2022-03-20T00:00:00;3;8;7;10;2
ID_37;41,31;2,17;2022-07-11T00:00:00;2;7;3;1;10
ID_38;41,37;2,15;2022-07-28T00:00:00;1;5;2;0;7
ID_39;41,34;2,18;2023-01-22T00:00:00;7;0;9;8;10
ID_40;41,30;2,15;2022-12-24T00:00:00;8;10;1;10;3
ID_41;41,35;2,18;2022-12-21T00:00:00;5;8;5;9;4
ID_42;41,35;2,16;2022-12-26T00:00:00;6;5;2;4;6
ID_43;41,34;2,14;2023-02-10T00:00:00;6;6;5;9;10
ID_44;41,34;2,17;2022-05-21T00:00:00;7;5;10;9;0
ID_45;41,36;2,18;2022-05-26T00:00:00;3;8;0;0;9
ID_46;41,32;2,15;2022-11-28T00:00:00;1;6;10;9;0
ID_47;41,31;2,15;2022-02-01T00:00:00;3;0;10;5;8
ID_48;41,34;2,16;2022-07-14T00:00:00;1;7;7;7;8
ID_49;41,36;2,16;2022-07-10T00:00:00;1;9;3;5;3
ID_50;41,30;2,15;2022-03-31T00:00:00;2;5;7;3;10
ID_51;41,37;2,14;2022-06-14T00:00:00;9;1;6;6;5
ID_52;41,29;2,16;2022-01-22T00:00:00;8;7;10;9;7
ID_53;41,33;2,18;2022-04-23T00:00:00;9;2;5;4;10
ID_54;41,29;2,18;2022-08-20T00:00:00;6;5;2;6;10
ID_55;41,29;2,18;2022-11-21T00:00:00;3;0;9;2;10
ID_56;41,36;2,16;2022-10-28T00:00:00;0;6;1;9;5
ID_57;41,33;2,16;2022-01-17T00:00:00;7;6;7;7;7
ID_58;41,37;2,18;2022-06-30T00:00:00;1;8;6;6;4
ID_59;41,29;2,17;2022-05-16T00:00:00;4;6;10;7;10
ID_60;41,32;2,16;2022-05-29T00:00:00;2;10;2;7;0
ID_61;41,33;2,14;2022-11-23T00:00:00;6;1;6;3;4
ID_62;41,29;2,18;2022-03-26T00:00:00;1;0;3;2;4
ID_63;41,31;2,15;2022-08-02T00:00:00;2;7;10;1;7
ID_64;41,33;2,18;2022-07-26T00:00:00;9;8;10;1;5
ID_65;41,32;2,17;2022-11-28T00:00:00;1;4;4;9;3
ID_66;41,31;2,18;2023-02-20T00:00:00;10;3;8;5;3
ID_67;41,33;2,17;2022-06-22T00:00:00;4;5;3;9;4
ID_68;41,30;2,18;2023-01-20T00:00:00;5;8;7;10;4
ID_69;41,32;2,14;2022-04-07T00:00:00;0;8;8;1;5
ID_70;41,30;2,15;2022-01-12T00:00:00;0;9;2;6;2
ID_71;41,29;2,14;2022-12-07T00:00:00;4;7;9;4;8
ID_72;41,34;2,16;2022-01-24T00:00:00;5;9;3;3;1
ID_73;41,31;2,17;2022-05-02T00:00:00;3;8;1;5;9
ID_74;41,31;2,18;2022-05-09T00:00:00;6;6;1;4;0
