id;lat;lng;time;plastico objeto ;medusas;otros;plastico agregados;boyas
ID_2;41,34;2,15;2022-02-14T00:00:00;2;10;2;5;2
ID_3;41,37;2,17;2022-04-14T00:00:00;7;9;0;8;0
ID_4;41,30;2,18;2022-11-18T00:00:00;5;1;2;1;2
ID_5;41,30;2,17;2022-03-04T00:00:00;1;4;3;9;9
ID_6;41,30;2,15;2022-01-03T00:00:00;3;5;3;1;7
ID_7;41,33;2,18;2023-01-14T00:00:00;8;2;4;8;9
ID_8;41,32;2,17;2022-06-27T00:00:00;4;1;9;2;10
ID_9;41,37;2,16;2022-12-25T00:00:00;1;7;2;7;2
ID_10;41,29;2,14;2022-07-03T00:00:00;1;3;7;5;6
ID_11;41,35;2,14;2022-07-03T00:00:00;1;5;7;2;4
ID_12;41,30;2,14;2022-01-21T00:00:00;5;2;9;5;6
ID_13;41,32;2,17;2022-11-12T00:00:00;1;8;9;8;0
ID_14;41,31;2,17;2022-02-07T00:00:00;3;5;5;9;4
ID_15;41,36;2,18;2022-02-01T00:00:00;5;9;8;4;3
ID_16;41,35;2,16;2022-12-19T00:00:00;9;4;6;8;2
ID_17;41,32;2,18;2022-01-29T00:00:00;7;6;0;5;2
ID_18;41,37;2,17;2022-11-15T00:00:00;4;7;3;4;9
ID_19;41,31;2,18;2023-01-06T00:00:00;4;6;0;4;3
ID_20;41,37;2,16;2022-11-07T00:00:00;4;3;1;5;10
ID_21;41,29;2,17;2023-01-13T00:00:00;2;3;0;10;2
ID_22;41,32;2,16;2022-02-05T00:00:00;6;8;3;6;9
ID_23;41,31;2,15;2022-11-24T00:00:00;10;10;5;5;8
ID_24;41,35;2,17;2022-11-18T00:00:00;4;3;10;5;2
ID_25;41,36;2,18;2022-03-11T00:00:00;6;1;7;1;0
ID_26;41,36;2,17;2022-09-19T00:00:00;1;2;5;3;4
ID_27;41,32;2,15;2022-02-09T00:00:00;9;2;1;3;7
ID_28;41,32;2,18;2022-04-29T00:00:00;7;3;9;5;7
ID_29;41,33;2,15;2022-03-23T00:00:00;4;6;4;3;0
ID_30;41,34;2,17;2022-08-08T00:00:00;10;6;3;9;4
ID_31;41,30;2,15;2022-04-13T00:00:00;5;2;1;7;8
ID_32;41,29;2,15;2022-04-29T00:00:00;3;7;6;7;1
ID_33;41,33;2,14;2022-06-25T00:00:00;6;3;2;8;3
ID_34;41,37;2,17;2022-02-27T00:00:00;8;1;10;10;3
ID_35;41,29;2,16;2022-02-13T00:00:00;6;5;7;4;2
ID_36;41,29;2,14;2023-01-28T00:00:00;3;3;5;5;8
ID_37;41,35;2,16;2023-02-02T00:00:00;0;1;6;6;7
ID_38;41,35;2,15;2023-01-31T00:00:00;10;5;5;8;7
ID_39;41,32;2,17;2022-12-20T00:00:00;0;2;10;0;0
