id;lat;lng;time;plastico objeto ;medusas;otros;plastico agregados;boyas
ID_2;41,32;2,14;2022-12-12T00:00:00;8;6;7;10;1
ID_3;41,29;2,14;2023-01-09T00:00:00;8;9;2;0;1
ID_4;41,33;2,17;2022-11-28T00:00:00;1;7;4;1;8
ID_5;41,35;2,16;2022-01-11T00:00:00;7;10;9;7;10
ID_6;41,36;2,17;2022-04-18T00:00:00;4;2;4;1;9
ID_7;41,29;2,17;2022-01-19T00:00:00;6;3;3;1;3
ID_8;41,31;2,17;2023-01-23T00:00:00;6;1;2;3;5
ID_9;41,31;2,15;2022-02-17T00:00:00;5;10;7;10;6
ID_10;41,34;2,18;2022-06-28T00:00:00;3;3;3;0;2
ID_11;41,30;2,18;2022-05-05T00:00:00;10;6;7;4;2
ID_12;41,36;2,18;2022-09-07T00:00:00;6;10;9;8;4
ID_13;41,31;2,15;2022-01-17T00:00:00;8;1;7;2;4
ID_14;41,37;2,14;2022-02-27T00:00:00;3;3;3;3;10
ID_15;41,34;2,15;2022-07-21T00:00:00;7;4;2;6;1
ID_16;41,35;2,14;2022-12-13T00:00:00;0;7;10;1;9
ID_17;41,37;2,15;2022-03-06T00:00:00;3;7;7;0;8
ID_18;41,30;2,15;2022-03-05T00:00:00;1;3;0;2;4
ID_19;41,33;2,15;2022-09-04T00:00:00;9;9;8;8;4
ID_20;41,29;2,17;2022-12-16T00:00:00;7;4;1;3;5
ID_21;41,30;2,16;2022-10-15T00:00:00;5;4;5;6;4
ID_22;41,36;2,17;2022-10-17T00:00:00;10;0;4;3;3
ID_23;41,31;2,17;2022-06-27T00:00:00;7;3;10;8;2
ID_24;41,29;2,17;2022-02-11T00:00:00;4;9;5;1;5
ID_25;41,30;2,17;2022-11-07T00:00:00;0;2;2;9;3
ID_26;41,31;2,14;2022-07-20T00:00:00;0;4;6;2;2
ID_27;41,33;2,15;2022-08-24T00:00:00;5;9;0;10;9
ID_28;41,29;2,15;2022-08-15T00:00:00;7;10;6;8;9
ID_29;41,36;2,14;2023-01-03T00:00:00;4;2;3;4;7
ID_30;41,36;2,16;2023-01-02T00:00:00;1;5;9;8;5
ID_31;41,36;2,18;2022-04-04T00:00:00;2;7;7;2;3
ID_32;41,32;2,17;2022-10-23T00:00:00;2;3;9;0;3
ID_33;41,29;2,17;2023-01-28T00:00:00;8;5;7;9;5
ID_34;41,36;2,17;2022-03-23T00:00:00;10;2;2;0;7
ID_35;41,29;2,18;2022-04-11T00:00:00;7;10;1;1;10
